Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодный прожектор Cameo Matrix 5x5 100w,2 кейса по 8 и 4 сумки по 2,MATRIX,LGT_EQP_LPR_MATRIX,24,10,,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодный прожектор LED PAR 14x10 RGBW,,14x10,LGT_EQP_LPR_14x10,32,5,,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодный прожектор LED PAR 18x18 RGBWAUV IP,,18x18,LGT_EQP_LPR_18x18,40,10,,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодный прожектор LED PAR 18x3 RGB,6 штук сверху,18x3,LGT_EQP_LPR_18x3,6,5,,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодный прожектор SPL-LED-4410IP WASHER,2 кейса по 4,4410IP,LGT_EQP_LPR_4410IP,2,15,,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодный прожектор STROBE RGBW SPL-960В,,SPL-960В,LGT_EQP_LPR_SPL-960В,124,5,,,,,
Свет,Оборудование,Система управления,Система управления светом ChamSys Mini Connect,,CS-Mini,LGT_EQP_CPN_CS-Mini,1,25,,,,,
Свет,Оборудование,Система управления,Система управления светом ChamSys PS WYNG,,CS-PC,LGT_EQP_CPN_CS-PC,2,30,,,,,
Свет,Оборудование,Система управления,Система управления светом MA LIGHTING GRANDMA2 Command Wing ,,MA2-Cmd,LGT_EQP_CPN_MA2-Cmd,2,,,,,,
Свет,Оборудование,Система управления,Система управления светом MA LIGHTING GRANDMA2 Fader Wing,,MA2-Fdr,LGT_EQP_CPN_MA2-Fdr,2,,,,,,
Свет,Оборудование,Стейдж-бокс,Стейдж-бокс DMX Showtec  Net - 8/3,,Net-8/3,LGT_EQP_STB_Net-8/3,2,15,,,,,
Свет,Оборудование,Стороскоб,Стробоскоп Atomic 3000W Lamp,,ATOMIC,LGT_EQP_STR_ATOMIC,9,15,,,,,
Свет,Оборудование,ArtNet,Цифровой мультикор DMX Showtec  Net - 2/3 (ArtNet),,Net-2/3,LGT_EQP_ART_Net-2/3,7,,,,,,
Свет,Оборудование,Звёздное небо,"Элемент декора ""Звёздное небо"" 12x4m",,12x4,LGT_EQP_GAL_12x4,1,80,,,,,
Свет,Оборудование,Звёздное небо,"Элемент декора ""Звёздное небо"" 6x3m",,6x3,LGT_EQP_GAL_6x3,1,30,,,,,
Свет,Оборудование,Звёздное небо,"Элемент декора ""Звёздное небо"" 8x4m",,8x4,LGT_EQP_GAL_8x4,5,50,,,,,
Кабель,Свет,DMX,Кабель световой,кейс 50 + резерв 48,5,CBL_LGT_DMX_5,98,,,,,,
Кабель,Свет,DMX,Кабель световой,кейс 140 + резерв 180,2,CBL_LGT_DMX_2,320,,,,,,
Кабель,Свет,DMX,Кабель световой,кейс 40,10,CBL_LGT_DMX_10,40,,,,,,
Кабель,Свет,DMX,Кабель световой,короб 60 + резерв 60,1,CBL_LGT_DMX_1,120,,,,,,
